FIPS,County,Year,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,% Obese,% Physically Inactive,% Exercise Access,% Excessive Drinking,Teen Birth Rate,% Uninsured,Preventable Hospitalization Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Injury Death Rate
53031,Jefferson,2017,3.2851946414,3.5856765839,13.543265589,24.5,16.1,74.066014997,16.361972084,19.795373665,10.91224591,19.48,64.843905349,7.0808343031,23.3,90705,20467,4.4317682122,27.06141424,87.679676914
53033,King,2017,2.8404675786,3.1448902301,10.115537265,22.2,13.5,98.061461779,22.005710035,15.46300823,8.666526131,26.98,78.680918703,4.4429740329,10.6,147984,31172,4.747337354,25.37097426,49.497475365
53035,Kitsap,2017,3.2286398447,3.5244350702,13.762211994,29.6,17.9,90.303942532,19.286711246,21.567336187,8.2788744958,26.96,71.570859419,5.4812474503,11.8,115159,28603,4.0261161417,27.509245079,59.707052005
53037,Kittitas,2017,3.6904377493,3.7651051954,16.139810544,28.9,17.3,72.14224612,19.226103182,9.4012483625,12.175999064,47.15,67.545945946,6.1440169093,16.3,89483,16686,5.3627591993,24.648074369,64.498688685
53039,Klickitat,2017,3.7462101385,3.6605473097,15.131851788,27.5,22.5,67.358992027,18.352407492,31.690955355,14.822049936,38.75,63.829787234,7.1451254366,23.6,83721,22902,3.6556195965,32.060535506,79.69351602
53041,Lewis,2017,4.3365369333,3.8591007489,17.580523374,32.8,20.7,60.005301173,17.333684783,38.134564003,12.994038049,34.27,57.093936352,8.3175317371,22.0,85069,19823,4.291429148,33.405731523,73.885168148
53043,Lincoln,2017,3.6710153057,3.760349193,14.703895822,31.2,23.1,36.281929991,19.036301601,26.481149013,10.336847519,45.04,52.214212152,5.7763211798,18.6,89083,21398,4.1631460884,22.753430722,90.75987255
53045,Mason,2017,4.1771892815,3.8436755654,16.757899541,30.5,21.8,67.673273036,20.443643004,38.782354459,13.373973899,36.63,53.990575762,7.6513753594,27.0,91183,20324,4.486469199,36.279389051,92.080425675
53047,Okanogan,2017,4.5178904059,4.2088177723,19.48070232,28.0,20.7,71.984435798,17.696440651,55.809175987,18.605431797,30.34,50.214786344,6.8983451537,28.2,77295,16957,4.5582945096,34.961574903,96.281781455
53049,Pacific,2017,4.2053044579,3.9755040888,16.910010663,31.6,24.8,65.956022945,15.76580685,34.231200898,14.684457758,40.06,53.538050734,9.1243654822,25.8,73947,16555,4.4667472063,36.214689266,93.799559045
